[WM_KEYUP Delay] Key: 68, Delay: 78.000 ms, Max: 78.000 ms, Avg: 78.000 ms, Count: 1
[WM_KEYUP Delay] Key: 65, Delay: 31.000 ms, Max: 78.000 ms, Avg: 54.500 ms, Count: 2
[WM_KEYUP Delay] Key: 83, Delay: 47.000 ms, Max: 78.000 ms, Avg: 52.000 ms, Count: 3
[WM_KEYUP Delay] Key: 87, Delay: 47.000 ms, Max: 78.000 ms, Avg: 50.750 ms, Count: 4
[WM_KEYUP Delay] Key: 83, Delay: 31.000 ms, Max: 78.000 ms, Avg: 46.800 ms, Count: 5
[WM_KEYUP Delay] Key: 65, Delay: 62.000 ms, Max: 78.000 ms, Avg: 49.333 ms, Count: 6
[WM_KEYUP Delay] Key: 68, Delay: 15.000 ms, Max: 78.000 ms, Avg: 44.429 ms, Count: 7
[WM_KEYUP Delay] Key: 65, Delay: 31.000 ms, Max: 78.000 ms, Avg: 42.750 ms, Count: 8
[WM_KEYUP Delay] Key: 87, Delay: 31.000 ms, Max: 78.000 ms, Avg: 41.444 ms, Count: 9
[WM_KEYUP Delay] Key: 68, Delay: 16.000 ms, Max: 78.000 ms, Avg: 38.900 ms, Count: 10
[WM_KEYUP Delay] Key: 83, Delay: 47.000 ms, Max: 78.000 ms, Avg: 39.636 ms, Count: 11
[WM_KEYUP Delay] Key: 87, Delay: 16.000 ms, Max: 78.000 ms, Avg: 37.667 ms, Count: 12
[WM_KEYUP Delay] Key: 65, Delay: 16.000 ms, Max: 78.000 ms, Avg: 36.000 ms, Count: 13
[WM_KEYUP Delay] Key: 68, Delay: 16.000 ms, Max: 78.000 ms, Avg: 34.571 ms, Count: 14
[WM_KEYUP Delay] Key: 87, Delay: 31.000 ms, Max: 78.000 ms, Avg: 34.333 ms, Count: 15
[WM_KEYUP Delay] Key: 83, Delay: 31.000 ms, Max: 78.000 ms, Avg: 34.125 ms, Count: 16
[WM_KEYUP Delay] Key: 83, Delay: 31.000 ms, Max: 78.000 ms, Avg: 33.941 ms, Count: 17
[WM_KEYUP Delay] Key: 65, Delay: 31.000 ms, Max: 78.000 ms, Avg: 33.778 ms, Count: 18
[WM_KEYUP Delay] Key: 68, Delay: 31.000 ms, Max: 78.000 ms, Avg: 33.632 ms, Count: 19
[WM_KEYUP Delay] Key: 68, Delay: 31.000 ms, Max: 78.000 ms, Avg: 33.500 ms, Count: 20
[WM_KEYUP Delay] Key: 87, Delay: 32.000 ms, Max: 78.000 ms, Avg: 33.429 ms, Count: 21
[WM_KEYUP Delay] Key: 65, Delay: 47.000 ms, Max: 78.000 ms, Avg: 34.045 ms, Count: 22
[WM_KEYUP Delay] Key: 87, Delay: 31.000 ms, Max: 78.000 ms, Avg: 33.913 ms, Count: 23
[WM_KEYUP Delay] Key: 65, Delay: 47.000 ms, Max: 78.000 ms, Avg: 34.458 ms, Count: 24
[WM_KEYUP Delay] Key: 87, Delay: 31.000 ms, Max: 78.000 ms, Avg: 34.320 ms, Count: 25
[WM_KEYUP Delay] Key: 68, Delay: 47.000 ms, Max: 78.000 ms, Avg: 34.808 ms, Count: 26
[WM_KEYUP Delay] Key: 83, Delay: 31.000 ms, Max: 78.000 ms, Avg: 34.667 ms, Count: 27
[WM_KEYUP Delay] Key: 65, Delay: 31.000 ms, Max: 78.000 ms, Avg: 34.536 ms, Count: 28
[WM_KEYUP Delay] Key: 68, Delay: 16.000 ms, Max: 78.000 ms, Avg: 33.897 ms, Count: 29
[WM_KEYUP Delay] Key: 65, Delay: 16.000 ms, Max: 78.000 ms, Avg: 33.300 ms, Count: 30
[WM_KEYUP Delay] Key: 68, Delay: 15.000 ms, Max: 78.000 ms, Avg: 32.710 ms, Count: 31
[WM_KEYUP Delay] Key: 87, Delay: 31.000 ms, Max: 78.000 ms, Avg: 32.656 ms, Count: 32
[WM_KEYUP Delay] Key: 83, Delay: 32.000 ms, Max: 78.000 ms, Avg: 32.636 ms, Count: 33
[WM_KEYUP Delay] Key: 87, Delay: 31.000 ms, Max: 78.000 ms, Avg: 32.588 ms, Count: 34
[WM_KEYUP Delay] Key: 83, Delay: 32.000 ms, Max: 78.000 ms, Avg: 32.571 ms, Count: 35
[WM_KEYUP Delay] Key: 65, Delay: 46.000 ms, Max: 78.000 ms, Avg: 32.944 ms, Count: 36
[WM_KEYUP Delay] Key: 68, Delay: 15.000 ms, Max: 78.000 ms, Avg: 32.459 ms, Count: 37
